subject,trialtype,duration,repduration,movdist,force,stoplatency,error,abserror
1,audiomotor,1740,2375,0.21748,0.42147,235,635,635
1,audiomotor,4077,3318,0.78558,1.9952,74,-759,759
1,audiomotor,1137,2112,0.13796,0.34642,133,975,975
1,audiomotor,3569,3355,0.5198,1.3711,64,-214,214
1,audiomotor,4084,3578,0.50735,1.2855,81,-506,506
1,audiomotor,2043,2632,0.31053,0.88066,39,589,589
1,audiomotor,2696,2832,0.4257,0.89501,192,136,136
1,audiomotor,2543,2993,0.32372,0.82554,38,450,450
1,audiomotor,3112,3186,0.30118,0.80737,108,74,74
1,audiomotor,1550,2665,0.19493,0.42974,46,1115,1115
1,audiomotor,2064,2612,0.42616,4.2742,59,548,548
1,auditory,4000,3575,0.0023053,4.5761,0,-425,425
1,auditory,1000,1872,0.0005688,1.7128,0,872,872
1,auditory,2000,2453,0.0021908,2.7129,0,453,453
1,auditory,2500,2847,0.0010299,2.0014,0,347,347
1,auditory,3000,4152,0.0014009,1.9725,0,1152,1152
1,auditory,3500,3176,0.00098083,2.9556,0,-324,324
1,auditory,1000,1475,0.00090973,0.9361,0,475,475
1,auditory,1500,2298,0.0012565,0.75306,0,798,798
1,auditory,1500,2070,0.0013714,2.0238,0,570,570
1,auditory,2000,2786,0.00074957,4.1091,0,786,786
1,auditory,2500,3149,0.0010387,2.6597,0,649,649
1,auditory,3000,3067,0.0025939,5.8564,0,67,67
1,auditory,3500,3313,0.0018122,3.7199,0,-187,187
1,auditory,4000,4057,0.0022058,11.666,0,57,57
1,audiomotor,3606,3050,0.56638,1.4416,103,-556,556
1,audiomotor,4054,3543,0.46707,1.2207,49,-511,511
1,audiomotor,3132,2927,0.32404,0.93666,129,-205,205
1,audiomotor,3588,3192,0.53267,1.241,85,-396,396
1,audiomotor,1535,2645,0.18301,0.38556,32,1110,1110
1,audiomotor,2050,2297,0.2574,0.44211,47,247,247
1,audiomotor,2654,2696,0.35751,0.78543,150,42,42
1,audiomotor,3210,3060,0.43118,0.88585,206,-150,150
1,audiomotor,4126,3881,0.63291,1.318,122,-245,245
1,audiomotor,1153,1880,0.14774,0.45788,148,727,727
1,audiomotor,2060,2589,0.32146,0.72062,56,529,529
1,audiomotor,2582,2760,0.38627,0.85123,78,178,178
1,audiomotor,1058,1529,0.11146,0.35525,54,471,471
1,audiomotor,1602,1919,0.1365,0.36614,99,317,317
1,motor,2086,2497,0.26951,0.63647,81,411,411
1,motor,2554,2505,0.29103,0.93848,49,-49,49
1,motor,4346,3284,0.94273,5.3426,341,-1062,1062
1,motor,1078,1749,0.12388,0.33616,74,671,671
1,motor,3717,2827,0.44805,0.99498,214,-890,890
1,motor,4345,4107,0.62755,1.3669,341,-238,238
1,motor,1086,2180,0.1463,0.32479,81,1094,1094
1,motor,1607,2672,0.15265,0.39693,104,1065,1065
1,motor,2589,2992,0.32591,0.75078,84,403,403
1,motor,3036,3193,0.38473,1.0667,32,157,157
1,motor,1546,3033,0.17395,0.5316,43,1487,1487
